# Beaver マイグレーション適用記録
# 書式: NNN_説明  適用日  環境
# 初回DBは schema.sql で自動生成されるためマイグレーション不要
002_projects_columns      2026-03-17  dev
003_project_images        2026-03-17  dev
004_tategu_catalog_name   2026-03-17  dev
005_sales_categories      2026-03-17  dev
006_tategu_cost_breakdown 2026-03-18  dev
007_aggregation_category_master 2026-03-18  dev
008_voucher_line_dynamic        2026-03-18  dev
009_customers_access_customer_no 2026-06-06  dev
010_access_voucher_id            2026-06-06  dev
011_access_voucher_id_unique     2026-06-06  dev
012_vouchers_customer_id_nullable  2026-06-23  dev
013_customers_access_customer_no_unique  2026-06-23  dev
014_seed_sales_categories        2026-06-23  dev
015_vouchers_validity_period     2026-06-23  dev
016_voucher_lines_sync_columns   2026-06-23  dev
017_vouchers_quoted_at           2026-06-23  dev
018_vouchers_last_synced_at      2026-06-24  dev
019_voucher_lines_updated_at     2026-07-03  dev
020_projects_owner_contractor_contact  2026-07-06  dev
006_tategu_cost_breakdown      2026-06-07  prod
007_aggregation_category_master      2026-06-07  prod
008_voucher_line_dynamic      2026-06-07  prod
009_customers_access_customer_no      2026-06-07  prod
010_access_voucher_id      2026-06-07  prod
011_access_voucher_id_unique      2026-06-07  prod
012_vouchers_customer_id_nullable      2026-06-09  prod
014_seed_sales_categories      2026-06-23  prod
015_vouchers_validity_period      2026-06-23  prod
016_voucher_lines_sync_columns      2026-06-23  prod
# 013 は本番に索引(uq_customers_access_customer_no)の実在を確認し記録漏れを補正(2026-06-24)
013_customers_access_customer_no_unique      2026-06-24  prod
017_vouchers_quoted_at      2026-06-24  prod
018_vouchers_last_synced_at      2026-07-06  prod
019_voucher_lines_updated_at     2026-07-06  prod (DEFAULT句なしで適用。SQLiteはADD COLUMNに非定数DEFAULT不可、dev実態と同一定義)
020_projects_owner_contractor_contact  2026-07-06  prod (適用不要: 本番に4列とも既存。手動追加されていた模様)
